date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:46:05	4282/4282	------	200	untouched ('')	image/png	date:Thu,%2002%20Mar%202023%2009:46:24%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=d9866ee3df3a50272132b746506802ee	D:/Miguel/Documents/Scrape/testv2/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time3e68.png	(from https://www.classcentral.com/)
20:46:05	33057/33057	------	200	untouched ('')	image/png	date:Fri,%2003%20Mar%202023%2006:02:24%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=11c7448eb8908a8cc785e26ec27de650	D:/Miguel/Documents/Scrape/testv2/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-timec7ac.png	(from https://www.classcentral.com/)
20:46:05	486/486	------	302	error ('Found')	text/html	date:Fri,%2003%20Mar%202023%2007:44:42%20GMT	https://www.classcentral.com/most-popular-courses	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/most-popular-courses.50.delayed	(from https://www.classcentral.com/)
20:46:05	198673/198673	------	200	untouched ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:20:51%20GMT	https://www.classcentral.com/report/most-popular-online-courses/	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/report/most-popular-online-courses/index.html	(from https://www.classcentral.com/)
20:46:05	4168/4168	------	200	untouched ('')	image/png	date:Thu,%2002%20Mar%202023%2010:06:30%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=6b9b3ca668420c3d807c332c51ee7f2c	D:/Miguel/Documents/Scrape/testv2/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time0931.png	(from https://www.classcentral.com/)
20:46:05	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:43%20GMT	https://www.classcentral.com/subject/ai	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/ai.51.delayed	(from https://www.classcentral.com/)
20:46:05	35437/35437	------	200	untouched ('')	image/png	date:Thu,%2002%20Mar%202023%2013:28:01%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=8ddc221d6528da20924c85c064e17572	D:/Miguel/Documents/Scrape/testv2/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time45d9.png	(from https://www.classcentral.com/)
20:46:05	145439/145439	------	200	untouched ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:09%20GMT	https://www.classcentral.com/report/best-free-online-courses-2022/	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/report/best-free-online-courses-2022/index.html	(from https://www.classcentral.com/)
20:46:05	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:43%20GMT	https://www.classcentral.com/subject/algorithms-and-data-structures	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/algorithms-and-data-structures.52.delayed	(from https://www.classcentral.com/)
20:46:05	153563/153563	------	200	untouched ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:10%20GMT	https://www.classcentral.com/report/best-free-online-courses-2021/	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/report/best-free-online-courses-2021/index.html	(from https://www.classcentral.com/)
20:46:05	176844/176844	------	200	untouched ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:11%20GMT	https://www.classcentral.com/report/most-popular-courses-2022/	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/report/most-popular-courses-2022/index.html	(from https://www.classcentral.com/)
20:46:05	178706/178706	------	200	untouched ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:12%20GMT	https://www.classcentral.com/report/100-most-popular-online-courses-2021/	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/report/100-most-popular-online-courses-2021/index.html	(from https://www.classcentral.com/)
20:46:05	822059/822059	------	200	untouched ('OK')	text/html	date:Fri,%2003%20Mar%202023%2007:44:38%20GMT	https://www.classcentral.com/collection/ivy-league-moocs	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/collection/ivy-league-moocs.html	(from https://www.classcentral.com/)
20:46:05	6215/6215	------	200	untouched ('')	image/jpeg	date:Thu,%2002%20Mar%202023%2018:31:08%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	D:/Miguel/Documents/Scrape/testv2/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
20:46:05	50744/50744	------	200	untouched ('')	image/jpeg	date:Thu,%2002%20Mar%202023%2012:10:25%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&h=420&ixlib=php-3.3.1&s=c49b305f32e1e971696b9852e3971c6b	D:/Miguel/Documents/Scrape/testv2/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social1fe9.jpg	(from https://www.classcentral.com/)
